IDFIL,NAME,TOTAL_FLUX,MEAN_DENS,MEAN_TEMP,ELLIPTICITY,CONTRAST,SATELLITE,INSTRUMENT
976304,HiGALFil315.0623+0.1748,1.2738000e+25,1.4744000e+21,17.1430,1.72414,1.23530,Herschel,SPIRE
976318,HiGALFil313.2102+0.1271,6.5235000e+24,2.0664000e+21,17.5180,1.61290,1.36490,Herschel,SPIRE
976326,HiGALFil321.1923+0.1210,2.6640000e+24,3.6413000e+20,17.6170,2.56410,1.06190,Herschel,SPIRE
976332,HiGALFil315.6810+0.1365,4.5001000e+24,4.7690000e+20,17.4390,1.78571,1.09920,Herschel,SPIRE
976373,HiGALFil318.3986+0.1575,1.2752000e+25,1.0453000e+21,17.4260,1.96078,1.19150,Herschel,SPIRE
976374,HiGALFil317.9633+0.1332,3.6214000e+24,1.2250000e+21,16.6420,1.78571,1.30310,Herschel,SPIRE
976381,HiGALFil313.5572+0.1380,8.1017000e+24,9.1849000e+20,18.3780,1.51515,1.17060,Herschel,SPIRE
976409,HiGALFil321.7691+0.1471,1.9245000e+24,4.1285000e+20,17.1610,2.38095,1.05430,Herschel,SPIRE
976413,HiGALFil320.0579+0.1408,2.2336000e+24,3.8007000e+20,18.1650,1.40845,1.10760,Herschel,SPIRE
976414,HiGALFil319.8769+0.1706,1.1819000e+25,6.7777000e+20,17.7760,2.04082,1.21360,Herschel,SPIRE
976418,HiGALFil316.9226+0.1558,7.7480000e+24,1.0116000e+21,18.1350,1.85185,1.16550,Herschel,SPIRE
976421,HiGALFil315.6486+0.1607,3.4884000e+24,7.2097000e+20,17.3430,1.88679,1.14790,Herschel,SPIRE
976454,HiGALFil319.4362+0.1637,6.6540000e+24,1.1333000e+21,17.5890,1.66667,1.38080,Herschel,SPIRE
976457,HiGALFil318.1390+0.1519,2.8010000e+24,4.0618000e+20,18.0840,2.04082,1.09310,Herschel,SPIRE
976472,HiGALFil321.2604+0.1699,4.5053000e+24,1.9163000e+20,17.5720,1.61290,1.10610,Herschel,SPIRE
976508,HiGALFil314.2080+0.2434,3.7533000e+25,7.4882000e+21,18.2080,2.43902,2.13900,Herschel,SPIRE
976517,HiGALFil320.9534+0.1582,2.6946000e+24,7.2524000e+20,17.6580,2.04082,1.23220,Herschel,SPIRE
976518,HiGALFil320.7888+0.1758,5.1068000e+24,9.0302000e+20,19.6650,2.43902,1.22700,Herschel,SPIRE
976536,HiGALFil319.3451+0.1500,2.5508000e+24,6.7148000e+20,17.9680,2.08333,1.20710,Herschel,SPIRE
976538,HiGALFil315.7321+0.1836,1.1141000e+25,1.4533000e+21,17.2640,2.22222,1.32630,Herschel,SPIRE
976542,HiGALFil312.6070+0.1723,6.0138000e+24,1.1233000e+21,18.8990,1.51515,1.12520,Herschel,SPIRE
976562,HiGALFil312.7355+0.1629,6.0141000e+24,1.6517000e+21,18.6800,1.53846,1.19820,Herschel,SPIRE
976572,HiGALFil317.2735+0.2107,1.3921000e+25,1.6423000e+21,19.5200,1.85185,1.29430,Herschel,SPIRE
976588,HiGALFil319.1723+0.1829,6.0866000e+24,6.3179000e+20,17.6010,1.72414,1.11620,Herschel,SPIRE
976608,HiGALFil321.6243+0.2001,4.2414000e+24,5.8458000e+20,17.1760,1.88679,1.14080,Herschel,SPIRE
976626,HiGALFil320.7868+0.2453,1.8326000e+25,2.6734000e+21,19.8800,2.63158,1.47510,Herschel,SPIRE
976654,HiGALFil316.1856+0.1801,5.9532000e+24,8.1292000e+20,17.0730,2.04082,1.15680,Herschel,SPIRE
976663,HiGALFil312.9476+0.1811,6.7563000e+24,1.3430000e+21,18.3100,2.32558,1.09530,Herschel,SPIRE
976682,HiGALFil312.2841+0.2003,1.1122000e+25,3.3242000e+21,17.5470,1.42857,1.47300,Herschel,SPIRE
976685,HiGALFil322.1351+0.1857,4.0560000e+24,7.7724000e+20,17.0740,2.00000,1.28730,Herschel,SPIRE
976691,HiGALFil319.2714+0.2371,1.6648000e+25,7.1546000e+20,18.0350,1.78571,1.20660,Herschel,SPIRE
976731,HiGALFil314.6739+0.2123,2.0945000e+25,4.1504000e+21,16.2910,1.53846,1.48130,Herschel,SPIRE
976735,HiGALFil313.6391+0.1856,8.2377000e+24,1.5150000e+21,17.6390,4.16667,1.19380,Herschel,SPIRE
976798,HiGALFil321.7745+0.2154,6.3257000e+24,4.1459000e+20,17.1820,1.78571,1.12890,Herschel,SPIRE
976803,HiGALFil317.5748+0.2287,7.5334000e+24,1.0597000e+21,17.4410,1.72414,1.19370,Herschel,SPIRE
976814,HiGALFil321.3068+0.2096,2.5029000e+24,2.8766000e+20,17.5490,2.27273,1.06770,Herschel,SPIRE
976825,HiGALFil312.4958+0.2527,1.2888000e+25,1.4905000e+21,18.6520,2.56410,1.21970,Herschel,SPIRE
976827,HiGALFil312.2171+0.2099,5.2949000e+24,1.3481000e+21,18.1010,1.66667,1.16270,Herschel,SPIRE
976834,HiGALFil320.2481+0.3581,2.7794000e+25,3.3706000e+21,18.8670,3.03030,1.94340,Herschel,SPIRE
976840,HiGALFil317.8722+0.2369,7.0578000e+24,1.1758000e+21,17.7390,1.85185,1.25890,Herschel,SPIRE
976843,HiGALFil316.4803+0.2258,4.8045000e+24,-3.1681000e+20,17.5080,1.36986,1.07400,Herschel,SPIRE
976856,HiGALFil316.5736+0.2228,1.3806000e+25,1.2763000e+21,17.6080,3.03030,1.20100,Herschel,SPIRE
976862,HiGALFil311.6287+0.2035,6.0805000e+24,1.5740000e+21,18.3550,2.38095,1.12960,Herschel,SPIRE
976910,HiGALFil319.6053+0.2299,4.2146000e+24,7.4559000e+20,17.4860,1.61290,1.26750,Herschel,SPIRE
976912,HiGALFil315.8643+0.2420,7.8488000e+24,8.4833000e+20,17.5510,1.63934,1.16040,Herschel,SPIRE
976914,HiGALFil315.2079+0.2351,6.8750000e+24,6.0940000e+20,17.4780,2.70270,1.14800,Herschel,SPIRE
976934,HiGALFil318.0578+0.2774,1.1470000e+25,1.3303000e+21,16.8840,2.70270,1.23690,Herschel,SPIRE
976951,HiGALFil314.2651+0.2365,5.7329000e+24,1.3989000e+21,16.7420,1.63934,1.25160,Herschel,SPIRE
976971,HiGALFil321.6946+0.2379,4.8299000e+24,7.3472000e+20,17.4120,1.51515,1.18970,Herschel,SPIRE
976972,HiGALFil321.4376+0.2390,5.1750000e+24,4.5367000e+20,17.5350,2.12766,1.13430,Herschel,SPIRE
976974,HiGALFil319.9514+0.2234,2.8057000e+24,2.2119000e+20,18.0140,2.94118,1.06200,Herschel,SPIRE
976979,HiGALFil314.4050+0.2699,1.5641000e+25,2.9321000e+21,16.5890,2.22222,1.32340,Herschel,SPIRE
976980,HiGALFil314.0607+0.2300,5.2406000e+24,6.1280000e+20,17.6170,1.44928,1.13840,Herschel,SPIRE
976988,HiGALFil318.3087+0.2382,4.8525000e+24,4.1325000e+20,17.5020,2.32558,1.12150,Herschel,SPIRE
