IDSTAR,NAMESTAR,GLON_ST,GLAT_ST,FLUX_ST,TYPE_ST
24826,HIGALPS005.2433-0.3675,5.2431590,-0.36705400,8.64767,PRESTELLAR
24827,HIGALPS005.2434-0.2859,5.2433590,-0.28597300,4.49917,UNBOUND
24828,HIGALPS005.2445-0.4372,5.2435620,-0.43717900,19.9112,PRESTELLAR
24845,HIGALPS005.2491-0.6796,5.2489240,-0.67994700,8.07165,PRESTELLAR
24846,HIGALPS005.2490-0.2344,5.2490250,-0.23506100,10.9621,PRESTELLAR
24847,HIGALPS005.2490+0.0255,5.2490600,0.025580000,21.4529,PROTOSTELLAR
24855,HIGALPS005.2511-0.4382,5.2511440,-0.43800200,7.26565,PRESTELLAR
24859,HIGALPS005.2514-0.3704,5.2520260,-0.37012400,5.55690,PRESTELLAR
24868,HIGALPS005.2550+0.4775,5.2550670,0.47774600,5.41616,PRESTELLAR
24894,HIGALPS005.2616-0.1411,5.2613420,-0.14038500,2.25701,PRESTELLAR
24909,HIGALPS005.2641-0.5173,5.2636820,-0.51667500,36.5376,PRESTELLAR
24912,HIGALPS005.2645-0.7257,5.2642240,-0.72541400,7.04341,PRESTELLAR
24913,HIGALPS005.2644-0.5610,5.2643570,-0.56092300,14.2544,PRESTELLAR
24928,HIGALPS005.2687+0.4931,5.2678260,0.49266000,4.84598,PRESTELLAR
24929,HIGALPS005.2683-0.3906,5.2682880,-0.39061200,7.92789,PRESTELLAR
24933,HIGALPS005.2695-0.9107,5.2694030,-0.91064300,6.78820,PRESTELLAR
24938,HIGALPS005.2703-0.8527,5.2703570,-0.85281000,5.16247,PROTOSTELLAR
24939,HIGALPS005.2700-0.2510,5.2706640,-0.25137000,2.85852,PROTOSTELLAR
24949,HIGALPS005.2739-0.7914,5.2738760,-0.79030600,7.33584,PRESTELLAR
24952,HIGALPS005.2745-0.9426,5.2742180,-0.94254900,7.16902,PRESTELLAR
24957,HIGALPS005.2754-0.4782,5.2753370,-0.47812100,15.2042,PRESTELLAR
24959,HIGALPS005.2763-0.6102,5.2757310,-0.61001800,11.5169,PROTOSTELLAR
24961,HIGALPS005.2761+0.2037,5.2761680,0.20403600,3.27954,PRESTELLAR
24985,HIGALPS005.2824+0.7677,5.2825650,0.76807100,1.80287,UNBOUND
24986,HIGALPS005.2829-0.4060,5.2826260,-0.40560000,20.7707,PRESTELLAR
24996,HIGALPS005.2867-0.5949,5.2862550,-0.59525800,3.70469,PRESTELLAR
25000,HIGALPS005.2870+0.3332,5.2868710,0.33316600,8.90246,PROTOSTELLAR
25006,HIGALPS005.2882-0.1748,5.2881620,-0.17469400,7.79409,PRESTELLAR
25012,HIGALPS005.2887-1.0782,5.2895110,-1.0769440,4.59745,PROTOSTELLAR
25015,HIGALPS005.2901-0.6994,5.2900390,-0.69956400,8.75835,PRESTELLAR
25016,HIGALPS005.2920-0.0164,5.2905720,-0.016349000,14.4395,PROTOSTELLAR
25022,HIGALPS005.2915-0.9357,5.2911100,-0.93566300,12.6053,PRESTELLAR
25025,HIGALPS005.2912+0.0872,5.2918460,0.088538000,16.8868,PRESTELLAR
25043,HIGALPS005.2952+0.7911,5.2951230,0.79113300,4.42508,UNBOUND
25046,HIGALPS005.2951-0.7108,5.2956270,-0.71049300,7.95590,PRESTELLAR
25062,HIGALPS005.2978+0.5227,5.2978620,0.52250900,4.99749,UNBOUND
25064,HIGALPS005.2990-0.3994,5.2983320,-0.39895600,10.4961,PRESTELLAR
25066,HIGALPS005.2984-0.5992,5.2984010,-0.59915900,3.20381,PRESTELLAR
25069,HIGALPS005.2981-0.4811,5.2986740,-0.48189500,12.3602,PROTOSTELLAR
